comment,is_blocker
"Lisa James: Karena tidak bisa akses, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Melissa: I'm planned for today, so the task is currenlty blocked.",False
can'ta ccess.,True
"Monica Ray: Karena server down, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"I'm planned for today, sot he task is currently blocked.",False
"Cassandra Gibson: Saya tidak ada kendala, jadi pekerjaan tertunda untuk saat ini.",False
"Crystal Wallace: Saya sprint berjalan lancar, jadi pekerjaan tertunda untuk saat ini.",False
"Rachel: I'm planned for today, so the task is currently blocked.",False
"Denise Jones: Karena rencana hari ini, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
"Brandy Murray: Saya melanjutkan tugas, jadi pekerjaan tertunda untuk saat ini.",False
"Karena masalah credential, saat ini saya tidak bisa melanjutka ntask ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Micheal Austin: Saya sprint berjalan lancar, jadi pekerjaan tertunda untuk saat ini.",False
Sean White: masalah credential.,True
Rebecca Kleni: progress aman.,False
"Tasha: Due to credential issue, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",True
"David Gonzalez: Karena menunggu tim lain, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Karena dependensi belum tersedia, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapas olusi tapi belum berhasil.",True
"Gregory: I'm pipeline failed, so the task is currently blocked.",True
"Patricia Wood: Karena belum ada respon, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Jamie Cruz: Saya akses ditolak, jadi pekerjaan tertunda untuk saat ini.",True
"Janet Delgado: Saya sprint berjalan lancar, jadi pekerjaan tertunda untuk saat ini.",False
"Isaiah Avila: Saya tidak ada kendala, jadi pekerjaan tertunda untuk saat ini.",False
Margaret Campbell: sudah selesai.,False
Rebekah Cole: melanjutkan tugas.,False
"Saya sevrer down, jadi pekerjaan tertunda untuk saat ini.",True
"Sydney Evans: Saya sprint berjalan lancar, jadi pekerjaan tertunda untuk saat ini.",False
"Sylvia: Due to ongoing development, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",False
"Mark Kelley: Saya server down, jadi pekerjaan tertunda untuk saat ini.",True
Dillon: sprint is on track.,False
"Kevin Hall: Saya rencana hari ini, jadi pekerjaan tertunda untuk saat ini.",False
ongoing developemnt.,False
"Karena akses ditolak, saat ini saya tidak bisa melanjutkan task ini. Sudah coab beberapa solusi tapi belum berhasil.",True
Cheryl Gregory: masalah credential.,True
"Stephanie Chapman: Karena akses ditolak, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
Matthew: access denied.,True
"Dana: Due to waiting on another team, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",True
Amanda Morris: sprint berjalan lancar.,False
"Teresa Ford: Karena melanjutkan tugas, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
"Steven: I'm credential issue, so the task is currently blocked.",True
John Santana: sedang dikerjakan.,False
"Sara: Due to sprint is on track, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",False
Christopher George: melanjutkan tugas.,False
"Jennifer Smith: Saya tidak ada kendala, jadi pekerjaan tertunda untuk saat ini.",False
"Saya sedang dikerjakan, jadi pekerjaan tertunda untu ksaat ini.",False
"Isaiah: I'm ongoing development, so the task is currently blocked.",False
Ana Higgins: pipeline gagal.,True
Mrs. Chelsea Villa: sudah selesai.,False
Lisa: waiting on another team.,True
"Timothy Pham: Karena akses ditolak, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Nicole Peterson: Saya pipeline gagal, jadi pekerjaan tertunda untuk saat ini.",True
"Tanya Kelley: Saya sudah selesai, jadi pekerjaan tertunda untuk saat ini.",False
"Kimberly Rivera: Saya tidak ada kendala, jadi pekerjaan tertunda untuk saat ini.",False
"I'm completed task, os the task is currently blocked.",False
"Matthew Adams: Saya server down, jadi pekerjaan tertunda untuk saat ini.",True
"Robert Brooks: Karena dependensi belum tersedia, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Jennifer: Due to no blockers, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",False
Steven Davis: melanjutkan tugas.,False
"Lawrence Glover: Saya belum ada respon, jadi pekerjaan tertunda untuk saat ini.",True
"Gina Pace: Saya server down, jadi pekerjaan tertunda untuk saat ini.",True
"Brent Rodgers: Saya sedang dikerjakan, jadi pekerjaan tertunda untuk saat ini.",False
"Taylor Ferguson: Saya dependensi belum tersedia, jadi pekerjaan tertunda untuk saat ini.",True
Tammy Duncan: melanjutkan tugas.,False
"Andrew Roberts: Saya tidak ada kendala, jadi pekerjaan tertunda untuk saat ini.",False
Megan Tanner: server down.,True
"Karena sudah selesai, saat ini saya tidak bisa melanjutkan task ini.S udah coba beberapa solusi tapi belum berhasil.",False
"Christopher Mcdonald: Karena sedang dikerjakan, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
Rita Tyler: menunggu tim lain.,True
Chris: continuing the task.,False
"John: I'm pipeline failed, so the task is currently blocked.",True
Rachel Meyer: melanjutkan tugas.,False
"Kathleen Moss: Saya server down, jadi pekerjaan tertunda untuk saat ini.",True
Anita: can't access.,True
"Karena server down, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solus itapi belum berhasil.",True
"Saya rencnaa hari ini, jadi pekerjaan tertunda untuk saat ini.",False
"I'm access denied, os the task is currently blocked.",True
"Christina Perez: Saya pipeline gagal, jadi pekerjaan tertunda untuk saat ini.",True
"Jermaine Barnes: Karena tidak bisa akses, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
Pamela Key: akses ditolak.,True
"Lauren Wright: Saya pipeline gagal, jadi pekerjaan tertunda untuk saat ini.",True
"Lauren: I'm server is down, so the task is currently blocked.",True
"Saya dependensi beulm tersedia, jadi pekerjaan tertunda untuk saat ini.",True
"Ashley Taylor: Saya tidak bisaa kses, jadi pekerjaan tertunda untuk saat ini.",True
"Sonya Wilcox: Karena rencana hari ini, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
Cindy Rich MD: tidak bisa akses.,True
"Jennifer Young: Karena akses ditolak, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Tracey: I'm sprint is on track, so the task is currently blocked.",False
"Karena dependensi belum tersedia, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa soluis tapi belum berhasil.",True
"Judith Miller: Saya sudah selesai, jadi pekerjaan tertunda untuk saat ini.",False
"Johnathan Miller: Saya tidak ada kendala, jadi pekerjaan tertunda untuk saat ini.",False
"Andrew Jones: Saya sprint berjalan lancar, jadi pekerjaan tertunda untuk saat ini.",False
Mary Neal: tidak bisa akses.,True
Susan May: dependensi belum tersedia.,True
"Christy: I'm pipeline failed, so the task is currently blocked.",True
"Due to working fine, I can't proceed with this task. I've tried a few fixes but nothing has worke dso far.",False
tidak ada kenadla.,False
"Sean: I'm continuing the task, so the task is currently blocked.",False
"Felicia Bennett: Saya sprint berjalan lancar, jadi pekerjaan tertunda untuk saat ini.",False
"Saya sprint berjala nlancar, jadi pekerjaan tertunda untuk saat ini.",False
"Rodney: I'm sprint is on track, so the task is currently blocked.",False
"Paula Sanchez: Saya dependensi belum tersedia, jadi pekerjaan tertunda untuk saat ini.",True
"Frank: Due to sprint is on track, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",False
"Peter Thompson: Saya sedang dikerjakan, jadi pekerjaan tertunda untuk saat ini.",False
"Kristin: I'm continuing the task, so the task is currently blocked.",False
"Cole: I'm continuing the task, so the task is currently blocked.",False
"I'm continuing the task, so the task is currently blokced.",False
Laura: working fine.,False
Mike: continuing the task.,False
"Jacob Ochoa: Saya sudah selesai, jadi pekerjaan tertunda untuk saat ini.",False
"Jennifer: I'm no response yet, so the task is currently blocked.",True
"Adrienne Jones: Saya sprint berjalan lancar, jadi pekerjaan tertunda untuk saat ini.",False
"Rachel Vasquez: Saya sedang dikerjakan, jadi pekerjaan tertunda untuk saat ini.",False
"Lindsay: I'm no response yet, so the task is currently blocked.",True
Brandi Vargas: akses ditolak.,True
"Lisa Harris: Saya progress aman, jadi pekerjaan tertunda untuk saat ini.",False
"Brandy Mccann: Saya belum ada respon, jadi pekerjaan tertunda untuk saat ini.",True
Nicolas Brown: server down.,True
"Robert Walker PhD: Saya server down, jadi pekerjaan tertunda untuk saat ini.",True
"Lindsey Mendoza: Karena sprint berjalan lancar, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
Edward Moore: sprint berjalan lancar.,False
Denise Olsen: belum ada respon.,True
"Tammy: I'm ongoing development, so the task is currently blocked.",False
Timothy Salazar: menunggu tim lain.,True
"Saya dependensi belum tersedia, jadi peekrjaan tertunda untuk saat ini.",True
Jesus: sprint is on track.,False
"Katrina: I'm completed task, so the task is currently blocked.",False
"Jordan Curry: Saya masalah credential, jadi pekerjaan tertunda untuk saat ini.",True
sedang diekrjakan.,False
"Tracy: I'm no response yet, so the task is currently blocked.",True
Daivd Burke: tidak bisa akses.,True
"Jennifer: Due to server is down, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",True
"Edward: I'm no blockers, so the task is currently blocked.",False
"Shelly Jackson: Karena sedang dikerjakan, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
"Rachel Le: Saya sprint berjalan lancar, jadi pekerjaan tertunda untuk saat ini.",False
"Christine: Due to waiting on another team, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",True
Autumn Gallagher: progress aman.,False
"Donald Cruz: Saya server down, jadi pekerjaan tertunda untuk saat ini.",True
"Courtney: Due to no response yet, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",True
"Karena tidak bisa akses, saat ini saya tidak bisa melajnutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Mario: I'm credential issue, so the task is currently blocked.",True
Thomas Jones: progress aman.,False
"Carla Brown: Karena sedang dikerjakan, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
"Joseph Smith: Saya dependensi belum tersedia, jadi pekerjaan tertunda untuk saat ini.",True
"Erica Fletcher: Saya menunggu tim lain, jadi pekerjaan tertunda untuk saat ini.",True
Charles: no response yet.,True
Juan Thompson: menunggu tim lain.,True
"I'm ongoing development, so the atsk is currently blocked.",False
"William Lewis: Karena progress aman, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
"Saya progress aman, jadi pekerjaan tertnuda untuk saat ini.",False
"Robert: I'm planned for today, so the task is currently blocked.",False
"Mr. Phillip Edwards: Saya server down, jadi pekerjaan tertunda untuk saat ini.",True
"Maria: I'm working fine, so the task is currently blocked.",False
"Erin Edwards: Saya menunggu tim lain, jadi pekerjaan tertunda untuk saat ini.",True
"James Wilson: Karena dependensi belum tersedia, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Tracy Hernandez: Karena sedang dikerjakan, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
"Daniel Meyer: Saya masalah credential, jadi pekerjaan tertunda untuk saat ini.",True
"Shawn Brown: Karena sprint berjalan lancar, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
Brandon Pruitt: sprint berjalan lancar.,False
Daniel Carter: belum ada respon.,True
Kimberly Gibson: dependensi belum tersedia.,True
"Andrew: Due to credential issue, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",True
"John Peterson: Saya rencana hari ini, jadi pekerjaan tertunda untuk saat ini.",False
"John Pierce: Saya server down, jadi pekerjaan tertunda untuk saat ini.",True
Anthony Stone: akses ditolak.,True
Kenneth: no blockers.,False
"James Morgan: Saya sudah selesai, jadi pekerjaan tertunda untuk saat ini.",False
"Pamela White: Saya melanjutkan tugas, jadi pekerjaan tertunda untuk saat ini.",False
Ann Boyd: server down.,True
Thomas Reyes: tidak bisa akses.,True
"Taylor: I'm dependency not available, so the task is currently blocked.",True
Monica: waiting on another team.,True
"I'm completed task, so the tas kis currently blocked.",False
David Brewer: dependensi belum tersedia.,True
"Molly: I'm continuing the task, so the task is currently blocked.",False
"David Roth: Saya progress amna, jadi pekerjaan tertunda untuk saat ini.",False
"Christopher Bradley: Saya pipeline gagal, jadi pekerjaan tertunda untuk saat ini.",True
"Javier: I'm credential issue, so the task is currently blocked.",True
"Jacob: I'm ongoing development, so the task is currently blocked.",False
Shawn: continuing the task.,False
"Saya masalah credential, jdai pekerjaan tertunda untuk saat ini.",True
"Cynthia Tran: Karena sudah selesai, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
"Amanda Ford: Saya pipeline gagal, jadi pekerjaan tertunda untuk saat ini.",True
"I'm credential issue, so the task is crurently blocked.",True
Justin Mason: tidak ada kendala.,False
"Steven: I'm sprint is on track, so the task is currently blocked.",False
working fine.,False
"John: I'm no blockers, so the task is currently blocked.",False
"Bradley: I'm waiting on another team, so the task is currently blocked.",True
"Isaac Castro: Saya pipeline gagal, jadi pekerjaan tertunda untuk saat ini.",True
"Saya sudah selesai, jadi pekerjaa ntertunda untuk saat ini.",False
"Bridget Edwards DDS: Karena sedang dikerjakan, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
"Sherry Zamora: Saya progress aman, jadi pekerjaan tertunda untuk saat ini.",False
Michael: pipeline failed.,True
"Jonathan: I'm planned for today, so the task is currently blocked.",False
John Garcia: masalah credential.,True
"Suzanne Crosby: Saya dependensi belum tersedia, jadi pekerjaan tertunda untuk saat ini.",True
"Keith: I'm server is down, so the task is currently blocked.",True
pipelin egagal.,True
"Jared Carter: Saya sudah selesai, jadi pekerjaan tertunda untuk saat ini.",False
"Andrea: I'm pipeline failed, so the task is currently blocked.",True
"Natasha: I'm server is down, so the task is currently blocked.",True
"Ryan: I'm can't access, so the task is currently blocked.",True
"Gerald: I'm no blockers, so the task is currently blocked.",False
"Adam Thomas: Saya sudah selesai, jadi pekerjaan tertunda untuk saat ini.",False
"Mackenzie Rogers: Saya masalah credential, jadi pekerjaan tertunda untuk saat ini.",True
"Steven Bond: Saya sedang dikerjakan, jadi pekerjaan tertunda untuk saat ini.",False
"Sandra: I'm planned for today, so the task is currently blocked.",False
"Casey Foster: Karena server down, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
Matthew: no blockers.,False
"Ariana Mitchell: Saya tidak ada kendala, jadi pekerjaan tertunda untuk saat ini.",False
"Frank Miller: Saya dependensi belum tersedia, jadi pekerjaan tertunda untuk saat ini.",True
"Tammy Yates: Karena sprint berjalan lancar, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
sprnit is on track.,False
Joseph Stevens: masalah credential.,True
Allen Shannon: sudah selesai.,False
"Jacob Obrien: Karena pipeline gagal, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Due to access denied, I can't proceed with this task. I've tried a few fixes btu nothing has worked so far.",True
no blokcers.,False
Samantha Thomas: tidak bisa akses.,True
Carly Lewis: melanjutkan tugas.,False
"Karena pipeline gagal, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberap asolusi tapi belum berhasil.",True
"Andrew Logan: Karena menunggu tim lain, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Ashley Stevens: Karena server down, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Deanna Kennedy: Karena menunggu tim lain, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
Christopher: no response yet.,True
Michael: continuing the task.,False
"Rachel Wood: Saya pipeline gagal, jadi pekerjaan tertunda untuk saat ini.",True
"Evan Carter: Saya menunggu tim lain, jadi pekerjaan tertunda untuk saat ini.",True
Elizabeth Johnson: tidak ada kendala.,False
"Yolanda: I'm planned for today, so the task is currently blocked.",False
"Alyssa: I'm no response yet, so the task is currently blocked.",True
"Kelly Long: Saya belum ada respon, jadi pekerjaan tertunda untuk saat ini.",True
"Jason Douglas: Karena tidak bisa akses, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Due to credential issue, I acn't proceed with this task. I've tried a few fixes but nothing has worked so far.",True
"Leon: I'm working fine, so the task is currently blocked.",False
"Paul: I'm server is down, so the task is currently blocked.",True
James Franklin: menunggu tim lain.,True
"Samantha: Due to planned for today, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",False
"Kenneth: Due to continuing the task, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",False
"Jordan Edwards: Saya progress aman, jadi pekerjaan tertunda untuk saat ini.",False
"Maria: Due to server is down, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",True
"Jennifer Parker: Saya progress aman, jadi pekerjaan tertunda untuk saat ini.",False
Christian Clark: sprint berjalan lancar.,False
Teresa Mcdaniel MD: menunggu tim lain.,True
"Donna Payne: Saya tidak bisa akses, jadi pekerjaan tertunda untuk saat ini.",True
"Saya sedang dikerjakan, jadi pekerjana tertunda untuk saat ini.",False
Zoe Peters: rencana hari ini.,False
"Mary: Due to working fine, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",False
"Saya aksesd itolak, jadi pekerjaan tertunda untuk saat ini.",True
"Alex: I'm server is down, so the task is currently blocked.",True
Christian Leach: masalah credential.,True
Bradley: planned for today.,False
"Karena progress aman, saat nii saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
"Harry: I'm continuing the task, so the task is currently blocked.",False
"Joshua White: Saya masalah credential, jadi pekerjaan tertunda untuk saat ini.",True
"Eric Johnson: Saya masalah credential, jadi pekerjaan tertunda untuk saat ini.",True
"Jacqueline Baker MD: Saya sudah selesai, jadi pekerjaan tertunda untuk saat ini.",False
"Michael: Due to sprint is on track, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",False
pipeline faile.d,True
"Matthew Greene: Saya sudah selesai, jadi pekerjaan tertunda untuk saat ini.",False
Pamela Butler: dependensi belum tersedia.,True
"John Simpson: Saya pipeline gagal, jadi pekerjaan tertunda untuk saat ini.",True
Tammy Cortez: dependensi belum tersedia.,True
"Steven Hall: Karena melanjutkan tugas, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
"Saya pipeline gagal, jadi pkeerjaan tertunda untuk saat ini.",True
"Diamond Collins: Saya akses ditolak, jadi pekerjaan tertunda untuk saat ini.",True
"James: I'm working fine, so the task is currently blocked.",False
William Brown: melanjutkan tugas.,False
"Tammy Norton: Karena belum ada respon, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
Valerie Robertson: masalah credential.,True
Heidi Jones: dependensi belum tersedia.,True
"Kimberly Nichols: Saya menunggu tim lain, jadi pekerjaan tertunda untuk saat ini.",True
"Holly: Due to completed task, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",False
Michelle: waiting on another team.,True
"Arthur Ferguson: Saya menunggu tim lain, jadi pekerjaan tertunda untuk saat ini.",True
"Karena tidak ada kendala, saat ini sayat idak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
Jeffrey Henderson: akses ditolak.,True
Travis Rodriguez: melanjutkan tugas.,False
"Anthony Shea DDS: Saya sprint berjalan lancar, jadi pekerjaan tertunda untuk saat ini.",False
"Cassandra: I'm completed task, so the task is currently blocked.",False
"John: I'm sprint is on track, so the task is currently blocked.",False
"Alexander Hansen: Saya melanjutkan tugas, jadi pekerjaan tertunda untuk saat ini.",False
Sherry Hines: progress aman.,False
"Jeanne Jones: Saya tidak ada kendala, jadi pekerjaan tertunda untuk saat ini.",False
"Paul Gallegos: Saya melanjutkan tugas, jadi pekerjaan tertunda untuk saat ini.",False
"I'm pipeline failed, so the taski s currently blocked.",True
"Brenda Hale: Saya tidak bisa akses, jadi pekerjaan tertunda untuk saat ini.",True
"Due to pipeline failed, I can't proceed with this task. I've tried a few fixes bu tnothing has worked so far.",True
Maria: can't access.,True
Shelly Alexander: sedang dikerjakan.,False
"Amy Lang: Saya menunggu tim lain, jadi pekerjaan tertunda untuk saat ini.",True
"Tracy Allen: Karena akses ditolak, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Martin Russo: Karena sudah selesai, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
"Mackenzie Jordan: Saya sudah selesai, jadi pekerjaan tertunda untuk saat ini.",False
"Craig: I'm waiting on another team, so the task is currently blocked.",True
"Jeffrey Fuller: Saya sedang dikerjakan, jadi pekerjaan tertunda untuk saat ini.",False
"Michael: I'm access denied, so the task is currently blocked.",True
"Dylan Young: Saya tidak ada kendala, jadi pekerjaan tertunda untuk saat ini.",False
Luke Yates: progress aman.,False
"Julie Taylor: Saya dependensi belum tersedia, jadi pekerjaan tertunda untuk saat ini.",True
Laura Adams: menunggu tim lain.,True
Paul Jones: pipeline gagal.,True
"Andrew Anderson: Saya sedang dikerjakan, jadi pekerjaan tertunda untuk saat ini.",False
"Justin Moore: Saya sudah selesai, jadi pekerjaan tertunda untuk saat ini.",False
"Saya masalah credential, jadip ekerjaan tertunda untuk saat ini.",True
"Teresa Obrien: Saya belum ada respon, jadi pekerjaan tertunda untuk saat ini.",True
Dawn Tucker MD: melanjutkan tugas.,False
"Heather Dunn: Saya belum ada respon, jadi pekerjaan tertunda untuk saat ini.",True
"John Zamora: Karena server down, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
tidak bis aakses.,True
"Heather Cole: Saya pipeline gagal, jadi pekerjaan tertunda untuk saat ini.",True
Ashley Page: menunggu tim lain.,True
"Pamela Harrison: Karena tidak ada kendala, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
"Andrew Chavez: Saya pipeline gagal, jadi pekerjaan tertunda untuk saat ini.",True
"Karen: I'm waiting on another team, so the task is currently blocked.",True
"Jennifer Lane: Karena sudah selesai, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
"Lisa Hensley: Karena belum ada respon, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Corey: I'm continuing the task, so the task is currently blocked.",False
"Michele: Due to continuing the task, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",False
"Melanie: I'm working fine, so the task is currently blocked.",False
"Nancy James: Saya server down, jadi pekerjaan tertunda untuk saat ini.",True
"Saya menunggu tim lain, jadi pekerjaan tertunda untuk saat iin.",True
"Elizabeth: I'm credential issue, so the task is currently blocked.",True
"John Khan: Saya sudah selesai, jadi pekerjaan tertunda untuk saat ini.",False
"Due to sprint is on track, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",False
"Gloria: I'm ongoing development, so the task is currently blocked.",False
"Kyle Armstrong: Saya tidak ada kendala, jadi pekerjaan tertunda untuk saat ini.",False
"Shannon: I'm waiting on another team, so the task is currently blocked.",True
"Cory: I'm server is down, so the task is currently blocked.",True
"Eric Garrett: Karena progress aman, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
Lynn Ray: sprint berjalan lancar.,False
Christopher Fitzgerald: sudah selesai.,False
"Elizabeth Stanley: Saya tidak ada kendala, jadi pekerjaan tertunda untuk saat ini.",False
"Rose Mclaughlin: Saya melanjutkan tugas, jadi pekerjaan tertunda untuk saat ini.",False
Catherine Koch: sudah selesai.,False
"Jacqueline Holden: Karena sedang dikerjakan, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
"Carla Benton: Saya masalah credential, jadi pekerjaan tertunda untuk saat ini.",True
"Due to can't access, I can't rpoceed with this task. I've tried a few fixes but nothing has worked so far.",True
"Dalton Lucas: Saya rencana hari ini, jadi pekerjaan tertunda untuk saat ini.",False
"Kelly Rodriguez: Saya masalah credential, jadi pekerjaan tertunda untuk saat ini.",True
"Jennifer: I'm completed task, so the task is currently blocked.",False
"Nancy Harris: Saya sprint berjalan lancar, jadi pekerjaan tertunda untuk saat ini.",False
"Melissa Martinez: Saya dependensi belum tersedia, jadi pekerjaan tertunda untuk saat ini.",True
"Wayne Keller: Saya melanjutkan tugas, jadi pekerjaan tertunda untuk saat ini.",False
Andrew Gonzalez: tidak bisa akses.,True
"Taylor Salinas: Saya tidak ada kendala, jadi pekerjaan tertunda untuk saat ini.",False
"Daniel Lee: Karena rencana hari ini, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
"Sally: Due to no blockers, I can't proceed with this task. I've tried a few fixes but nothing has worked so far.",False
Gabrielle: access denied.,True
"Jessica Hunter: Saya melanjutkan tugas, jadi pekerjaan tertunda untuk saat ini.",False
Sharon: can't access.,True
Barbara Gonzales: akses ditolak.,True
"Robyn: I'm sprint is on track, so the task is currently blocked.",False
"Due to can't access, I can't proceed with thist ask. I've tried a few fixes but nothing has worked so far.",True
